C#C
CC(C)=CC=C(C)C
CS(=O)(=O)NN
CN=[N+]=S
CNSC
C1CC1
C1CO1
C1CN1
C1COC1
C1CNC1
CN(C)N(C)C
CN(C)N=C
CC1=NN=NN1 |c:3,t:1|
CC1(C)N=N1 |c:3|
C1=CNN=C1
N1C=CN=N1 |c:1,3|
N1C=NN=C1 |c:1,3|
C1=NC=NC=N1 |c:0,2,4|
C1=CN=CN=C1 |c:0,2,4|
CN=NC
c1nn=ncc1
n1nn=nnn1
c1nn=ncn1
c1nn=nnc1
N1N=CN=N1
C[N+]#N
N=[N+]=[N-]
CN=O
CNO
ON=C
CON=O
CON
C=NOC
c1cnoc1
CC(=O)O[N+]([O-])=O
CN[N+]([O-])=O
C[N+](=C)N[N+]([O-])=O
CON(C)C(C)=O
CO[Cl](=O)(=O)=O
COOC
CO[Cl]=O
COOOC
CC(=O)OO
COO
CNF
CNCl
CNBr
CNI
CN(C)F
CN(C)Cl
CN(C)Br
CN(C)I
COF
COCl
COBr
COI
[Li]N(C)C
[Ni]N(C)C
[Au]N(C)C
[Ag]N(C)C
[Cu]N(C)C
[Mg]N(C)C
[K]N(C)C
[Na]N(C)C
[Zn]N(C)C
[Pd]N(C)C
[Zr]N(C)C
[Cr]N(C)C
[B]N(C)C
[Al]N(C)C
[Li]C
[Na]C
[K]C
[Mg]C
[Cu]C
[Zn]C
[Zr]C
[Pd]C
[Cr]C
[Ni]C
[Au]C
[Ag]C
[B]C
[Al]C
[N-]=[N+]=C
C[N+](=O)[O-]
